Substance name,EC / List no,CAS no,Status,Submitter,Regulatory programme,Latest update,Unnamed: 7,Details Link,Details
Trifluoroacetic acid,200-929-3,76-05-1,Consultation,Germany,Chemical registered under REACH,30-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188e8d4b8,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188e8d4b8"" target=""_blank"">Details</a>"
sodium trifluoroacetate and other inorganic salts of trifluoroacetic acid  show/hide  Sodium trifluoroacetate  EC / List no: 220-879-6  | CAS no: 2923-18-4,-,-,Consultation,Germany,Chemical registered under REACH,30-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a490331,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a490331"" target=""_blank"">Details</a>"
Trimagnesium diphosphide,235-023-7,12057-74-8,Opinion Development,Germany,Active substance in Plant Protection Products Active substance in Biocidal Products,29-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188d99c7a,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188d99c7a"" target=""_blank"">Details</a>"
Sodium bromate,232-160-4,7789-38-0,Opinion Development,Germany,Chemical registered under REACH,29-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189d64417,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189d64417"" target=""_blank"">Details</a>"
"reaction products of ammonium bromide and sodium hypochlorite, generated in-situ",-,-,Opinion Development,Sweden,Active substance in Biocidal Products,29-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188d9977a,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188d9977a"" target=""_blank"">Details</a>"
Potassium bromate,231-829-8,7758-01-2,Opinion Development,Germany,Chemical registered under REACH,29-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a2735f5,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a2735f5"" target=""_blank"">Details</a>"
Napropamide,239-333-3,15299-99-7,Opinion Development,Slovenia,Active substance in Plant Protection Products,29-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a680468,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a680468"" target=""_blank"">Details</a>"
"N-[3-({[2,2-dimethyl-3-(morpholin-4-yl)propylidene]amino}methyl)-3,5,5-trimethylcyclohexyl]-2,2-dimethyl-3-(morpholin-4-yl)propan-1-imine",700-584-3,1217271-02-7,Consultation,Belgium,Chemical registered under REACH,29-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a073c56,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a073c56"" target=""_blank"">Details</a>"
"N,N-dicyclohexylbenzothiazole-2-sulphenamide",225-625-8,4979-32-2,Opinion Development,Germany,Chemical registered under REACH,29-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a67b543,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a67b543"" target=""_blank"">Details</a>"
Di(morpholin-4-yl) disulphide,203-103-0,103-34-4,Consultation,Belgium,Chemical registered under REACH,29-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e187edc47f,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e187edc47f"" target=""_blank"">Details</a>"
Cinnamaldehyde,203-213-9,104-55-2,Consultation,Netherlands,Chemical registered under REACH Active substance in Plant Protection Products Active substance in Biocidal Products,29-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188e6df49,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188e6df49"" target=""_blank"">Details</a>"
"Bis(pentane-2,4-dionato)calcium",243-001-3,19372-44-2,Opinion Development,Germany,Chemical registered under REACH,29-mai-2025,Details,https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a485e34,"<a href=""https://echa.europa.euhttps://echa.europa.eu/fr/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a485e34"" target=""_blank"">Details</a>"
