Substance name,EC / List no,CAS no,Status,Submitter,Regulatory programme,Latest update,Link ID,Details
Tris[2-chloro-1-(chloromethyl)ethyl] phosphate,237-159-2,13674-87-8,Intention,Denmark,Chemical registered under REACH,09-juin-2025,0b0236e1877d9cf9,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1877d9cf9"" target=""_blank"">Details</a>"
Sulcotrione,619-394-6,99105-77-8,Opinion Adopted,Germany,Active substance in Plant Protection Products,09-juin-2025,0b0236e189ef7cf6,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189ef7cf6"" target=""_blank"">Details</a>"
Sodium fluoride,231-667-8,7681-49-4,Intention,France,Chemical registered under REACH,09-juin-2025,0b0236e18bc353a2,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18bc353a2"" target=""_blank"">Details</a>"
Silver chloride,232-033-3,7783-90-6,Intention,Sweden,Chemical registered under REACH Active substance in Biocidal Products,09-juin-2025,0b0236e18a4b8a42,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a4b8a42"" target=""_blank"">Details</a>"
Reaction products of phosphoryl trichloride and 2-methyloxirane,807-935-0,1244733-77-4,Intention,Denmark,Chemical registered under REACH,09-juin-2025,0b0236e187907d0b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e187907d0b"" target=""_blank"">Details</a>"
Propylidynetrimethanol,201-074-9,77-99-6,Intention,Finland,Chemical registered under REACH,09-juin-2025,0b0236e189d8b1e9,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189d8b1e9"" target=""_blank"">Details</a>"
Phenyl(methylethylketoxime)silane,433-360-6,34036-80-1,Opinion Development,Germany,Chemical registered under REACH,09-juin-2025,0b0236e180a0c3a5,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a0c3a5"" target=""_blank"">Details</a>"
Pentadecafluorooctanoic acid,206-397-9,335-67-1,Opinion Adopted,Norway,Chemical registered under REACH,09-juin-2025,0b0236e18a680468,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a680468"" target=""_blank"">Details</a>"
"N-[3-({[2,2-dimethyl-3-(morpholin-4-yl)propylidene]amino}methyl)-3,5,5-trimethylcyclohexyl]-2,2-dimethyl-3-(morpholin-4-yl)propan-1-imine",700-584-3,1217271-02-7,Consultation,Belgium,Chemical registered under REACH,09-juin-2025,0b0236e18bb5393a,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18bb5393a"" target=""_blank"">Details</a>"
"Methyl 2-(4-(2,4-dichlorophenoxy)phenoxy)propionate",257-141-8,51338-27-3,Intention,Portugal,Active substance in Plant Protection Products,09-juin-2025,0b0236e185dd40de,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e185dd40de"" target=""_blank"">Details</a>"
"Ethylene bis[3,3-bis(3-tert-butyl-4-hydroxyphenyl)butyrate]",251-073-2,32509-66-3,Opinion Adopted,Belgium,Chemical registered under REACH,09-juin-2025,0b0236e1885a5bc7,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1885a5bc7"" target=""_blank"">Details</a>"
DPX-Q8U80,832-861-0,1254304-22-7,Opinion Adopted,Malta,Active substance in Plant Protection Products,09-juin-2025,0b0236e1838a73e8,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1838a73e8"" target=""_blank"">Details</a>"
dichloromethane; methylene chloride,200-838-9,75-09-2,Opinion Adopted,Italy,Chemical registered under REACH,09-juin-2025,0b0236e189d8b24d,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189d8b24d"" target=""_blank"">Details</a>"
"butan-2-one O,O',O''-(methylsilylidyne)trioxime; butan-2-one O,O',O''-(vinylsilylidyne)trioxime; butan-2-one O,O',O'',O'''-silanetetrayltetraoxime",-,-,Opinion Development,Germany,Chemical registered under REACH,09-juin-2025,0b0236e18b92a21a,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b92a21a"" target=""_blank"">Details</a>"
Benzyl butyl phthalate,201-622-7,85-68-7,Submitted,France,Chemical registered under REACH,09-juin-2025,0b0236e18810a4c6,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18810a4c6"" target=""_blank"">Details</a>"
Acetophenone,202-708-7,98-86-2,Opinion Adopted,Spain,Chemical registered under REACH,09-juin-2025,0b0236e18bc37543,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18bc37543"" target=""_blank"">Details</a>"
"[1α(S*),3α]-(α)-cyano-(3-phenoxyphenyl)methyl3-(2,2-dichlor-oethenyl)-2,2-dichlorovinyl)-2,2-dimethyl-cyclopropanecarboxylate αCypermethrin)",614-054-3,67375-30-8,Submitted,Belgium,Active substance in Plant Protection Products Active substance in Biocidal Products,09-juin-2025,0b0236e18886ef6b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18886ef6b"" target=""_blank"">Details</a>"
"3,4-dimethyl-1H-pyrazole",429-130-1,2820-37-3,Opinion Adopted,Belgium,Chemical registered under REACH,09-juin-2025,0b0236e18b907746,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b907746"" target=""_blank"">Details</a>"
"2-ethylhexyl 10-ethyl-4,4-dimethyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",260-829-0,57583-35-4,Intention,Italy,Chemical registered under REACH,09-juin-2025,0b0236e188f838ab,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188f838ab"" target=""_blank"">Details</a>"
2-ethylhexyl (2E)-3-(4-methoxyphenyl)acrylate,629-661-9,83834-59-7,Opinion Adopted,Germany,Chemical registered under REACH,09-juin-2025,0b0236e188f26cab,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188f26cab"" target=""_blank"">Details</a>"
