Substance name,EC / List no,CAS no,Status,Submitter,Regulatory programme,Latest update,Unnamed: 7
Sodium fluirode,-,123344,Submitted,Germany,Chemical registered under REACH,13-mai-2025,Details
"2,4,6-tris(dimethylaminomethyl)phenol",202-013-9,90-72-2,Intention,Germany,Chemical registered under REACH,13-mai-2025,Details
"spinosad (ISO); Reaction mass of Spinosyn A: (2R,3aS,5aR,5bS,9S,13S,14R,16aS,16bR)-2-(6-deoxy-2,3,4-tri-O-methyl-α-L-mannopyranosyloxy)-13-(4-dimethylamino-2,3,4,6-tetradeoxy-β-D-erythropyranosyloxy)-9-ethyl-2,3a,5a,6,7,9,10,11,12,13,14,15,16a,16b-hexadecahydro-14-methyl-1H-8-oxacyclododeaca[b]as-indacene-7,15-dione and Spinosyn D: (2R,3aS,5aR,5bS,9S,13S,14R,16aS,16bR)-2-(6-deoxy-2,3,4-tri-O-methyl-α-L-mannopyranosyloxy)-13-(4-dimethylamino-2.3.4.6-tetradeoxy-β-D-erythropyranosyloxy)-9-ethy-2,3,3a,5a,6,7,9,10,11,12,13,14,15,16a,16b-hexadecahydro-4,14-dimethyl-1H-8-oxacyclododeaca[b]as-indacene-7,15-dione",434-300-1,168316-95-8,Intention,Netherlands,Active substance in Plant Protection Products Active substance in Biocidal Products,12-mai-2025,Details
Sodium chlorite,231-836-6,7758-19-2,Opinion Development,Hungary,Chemical registered under REACH,12-mai-2025,Details
"resorcinol; 1,3-benzenediol",203-585-2,108-46-3,Opinion Development,France,Chemical registered under REACH,12-mai-2025,Details
Malathion,204-497-7,121-75-5,Submitted,Czech Republic,Active substance in Plant Protection Products,12-mai-2025,Details
Fluopyram,619-797-7,658066-35-4,Submitted,Austria,Active substance in Plant Protection Products,12-mai-2025,Details
Dimethylsilanediol,213-915-7,1066-42-8,Submitted,Norway,Other substance,12-mai-2025,Details
"Butyl 2,3-epoxypropyl ether",219-376-4,2426-08-6,Opinion Development,Sweden,Chemical registered under REACH,12-mai-2025,Details
"Bis(pentane-2,4-dionato)calcium",243-001-3,19372-44-2,Opinion Development,Germany,Chemical registered under REACH,12-mai-2025,Details
"Allyl 2,3-epoxypropyl ether",203-442-4,106-92-3,Opinion Development,Sweden,Chemical registered under REACH,12-mai-2025,Details
(tert-butoxymethyl)oxirane,231-640-0,7665-72-7,Opinion Development,Sweden,Chemical registered under REACH,12-mai-2025,Details
Phenyl(methylethylketoxime)silane,433-360-6,34036-80-1,Opinion Development,Germany,Chemical registered under REACH,05-mai-2025,Details
"butan-2-one O,O',O''-(methylsilylidyne)trioxime; butan-2-one O,O',O''-(vinylsilylidyne)trioxime; butan-2-one O,O',O'',O'''-silanetetrayltetraoxime",-,-,Consultation,Germany,Chemical registered under REACH,05-mai-2025,Details
"4-hydroxy-3-(3-(4'-bromo-4-biphenylyl)-1,2,3,4-tetrahydro-1-naphthyl)coumarin",259-980-5,56073-10-0,Submitted,Netherlands,Active substance in Biocidal Products,05-mai-2025,Details
